,Mar 2017,Mar 2018,Mar 2019,TTM
Sales +,463,503,547,556
Expenses +,411,443,481,489
Operating Profit,52,60,66,67
OPM %,11%,12%,12%,12%
Other Income +,5,3,2,3
Interest,9,9,11,12
Depreciation,15,19,20,21
Profit before tax,33,35,37,37
Tax %,17%,25%,45%,
Net Profit,27,26,20,21
EPS in Rs,4.10,3.97,3.10,3.18
