,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,10,11
Reserves,666,748,858,"1,013","1,086"
Borrowings +,685,725,640,746,759
Other Liabilities +,386,346,421,451,520
Total Liabilities,"1,745","1,829","1,929","2,221","2,376"
Fixed Assets +,"1,014","1,064","1,127","1,239","1,289"
CWIP,49,68,60,122,136
Investments,1,4,4,11,11
Other Assets +,682,693,737,848,939
Total Assets,"1,745","1,829","1,929","2,221","2,376"
