,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,207,209,59,7,4,3,5,6,6
Expenses +,89,143,79,9,4,5,7,7,27
Operating Profit,119,66,-20,-2,-1,-2,-2,-1,-21
OPM %,57%,32%,-33%,-35%,-17%,-79%,-35%,-13%,-317%
Other Income +,7,11,-85,-47,0,7,-8,-2,17
Interest,14,17,11,6,5,4,5,6,5
Depreciation,27,45,50,53,32,29,25,17,39
Profit before tax,84,16,-165,-107,-38,-29,-40,-26,-48
Tax %,28%,59%,1%,9%,0%,2%,0%,-3%,
Net Profit,61,7,-163,-97,-38,-28,-40,-27,-49
EPS in Rs,14.31,1.55,-38.56,-22.98,-9.00,-6.66,-9.52,-6.43,-11.47
