,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,412,673,525,764,713
Expenses +,376,614,466,698,644
Operating Profit,36,59,59,67,69
OPM %,9%,9%,11%,9%,10%
Other Income +,13,3,4,9,3
Interest,27,38,47,49,50
Depreciation,11,15,20,17,17
Profit before tax,11,9,-4,9,4
Tax %,24%,41%,-29%,3%,47%
Net Profit,9,5,-6,9,2
EPS in Rs,7.65,4.59,-5.08,7.96,1.99
