,Mar 2006,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,16,16,16,16
Reserves,22,294,316,338,354
Borrowings +,18,179,204,252,244
Other Liabilities +,6,128,148,146,173
Total Liabilities,51,617,685,752,787
Fixed Assets +,18,217,220,224,228
CWIP,0,3,1,1,2
Investments,3,3,5,4,4
Other Assets +,30,394,459,523,553
Total Assets,51,617,685,752,787
