,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,114,114,114,130,130
Reserves,"1,997","2,456","3,185","7,476","7,701"
Borrowings +,"1,829","2,300","3,051","2,701","3,114"
Other Liabilities +,"7,662","6,915","6,978","11,010","10,072"
Total Liabilities,"11,603","11,786","13,328","21,317","21,018"
Fixed Assets +,"3,027","3,758","3,702","4,601","4,748"
CWIP,570,325,531,376,257
Investments,147,206,332,362,673
Other Assets +,"7,858","7,497","8,763","15,978","15,339"
Total Assets,"11,603","11,786","13,328","21,317","21,018"
