,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,367,458,505,845,956,"1,406","2,002","3,187"
Expenses +,288,375,433,758,855,"1,231","1,782","2,818"
Operating Profit,80,82,72,87,101,175,220,368
OPM %,22%,18%,14%,10%,11%,12%,11%,12%
Other Income +,4,5,5,8,-3,16,20,33
Interest,1,1,7,12,6,4,7,19
Depreciation,3,5,12,17,23,26,38,75
Profit before tax,80,81,57,65,69,162,195,308
Tax %,22%,25%,17%,15%,16%,18%,13%,
Net Profit,63,61,48,56,58,133,170,276
EPS in Rs,,,,,,23.10,26.36,43.33
