,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,154,147,143,183,204
Expenses +,111,107,99,130,148
Operating Profit,43,40,44,52,56
OPM %,28%,27%,31%,29%,27%
Other Income +,3,2,1,3,4
Interest,10,10,13,8,4
Depreciation,9,10,10,10,11
Profit before tax,27,22,23,37,45
Tax %,29%,10%,30%,26%,
Net Profit,19,20,16,27,33
EPS in Rs,33.38,6.92,5.27,6.93,8.59
