,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,167,249,334,517,"1,082","1,357"
Expenses +,122,179,246,387,869,"1,092"
Operating Profit,46,70,88,130,213,264
OPM %,27%,28%,26%,25%,20%,19%
Other Income +,0,0,6,41,72,64
Interest,1,1,1,4,7,9
Depreciation,8,10,13,20,32,42
Profit before tax,37,60,79,148,245,278
Tax %,24%,18%,17%,9%,12%,
Net Profit,28,49,66,135,215,245
EPS in Rs,2.29,4.02,5.14,10.57,16.05,18.29
