,Mar 2017
Share Capital +,0.52
Reserves,-7.46
Borrowings +,29.62
Other Liabilities +,4.49
Total Liabilities,27.17
Fixed Assets +,17.06
CWIP,3.01
Investments,0.02
Other Assets +,7.08
Total Assets,27.17
