,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4,4,4,4,4
Reserves,72,84,85,88,89,97,111,106
Borrowings +,98,77,70,72,89,100,134,137
Other Liabilities +,57,47,58,43,55,69,71,53
Total Liabilities,231,212,217,208,238,270,321,299
Fixed Assets +,130,120,112,104,122,111,143,150
CWIP,0,0,0,0,0,0,1,1
Investments,1,1,2,2,2,2,2,2
Other Assets +,100,90,104,102,114,157,174,146
Total Assets,231,212,217,208,238,270,321,299
