,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,9
Reserves,159,243,296,267
Borrowings +,20,24,212,183
Other Liabilities +,27,35,44,42
Total Liabilities,215,311,560,500
Fixed Assets +,102,121,198,218
CWIP,3,0,8,0
Investments,0,0,0,0
Other Assets +,110,191,354,282
Total Assets,215,311,560,500
