,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,20
Reserves,73,108,155,250,362,418,450,560,639
Borrowings +,7,6,95,108,38,1,1,11,7
Other Liabilities +,13,13,36,101,66,40,38,52,105
Total Liabilities,103,137,297,470,475,469,498,633,771
Fixed Assets +,24,24,78,49,51,41,38,112,198
CWIP,0,0,0,0,3,0,0,0,0
Investments,2,2,32,28,28,29,24,70,86
Other Assets +,78,111,187,393,393,400,436,451,488
Total Assets,103,137,297,470,475,469,498,633,771
