,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Sales +,22.96,11.94,13.04,12.14,12.34,1.46
Expenses +,63.17,18.67,31.79,290.78,23.78,2.44
Operating Profit,-40.21,-6.73,-18.75,-278.64,-11.44,-0.98
OPM %,-175.13%,-56.37%,-143.79%,"-2,295.22%",-92.71%,-67.12%
Other Income +,-8.55,-0.84,32.57,553.98,15.19,0.91
Interest,47.99,31.96,0.88,0.04,0.03,0.01
Depreciation,11.19,6.46,4.05,4.00,3.99,3.66
Profit before tax,-107.94,-45.99,8.89,271.30,-0.27,-3.74
Tax %,0.00%,0.00%,0.00%,0.00%,-59.26%,0.00%
Net Profit,-107.94,-45.99,8.89,271.30,-0.43,-3.74
EPS in Rs,,,,204.75,-0.32,-2.82
