,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11,13,13,16,21
Reserves,26,27,27,28,29,43,48,68,105
Borrowings +,117,119,122,145,97,110,89,43,7
Other Liabilities +,35,30,32,76,57,103,82,93,76
Total Liabilities,190,187,192,260,194,270,233,220,209
Fixed Assets +,18,15,14,13,12,17,18,17,17
CWIP,0,0,0,0,0,0,0,0,0
Investments,19,19,19,22,19,19,19,1,0
Other Assets +,153,152,159,226,163,234,195,201,192
Total Assets,190,187,192,260,194,270,233,220,209
