,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,17,17,25,25,38,38
Reserves,16,51,61,32,18,9,13
Borrowings +,29,0,10,94,100,53,64
Other Liabilities +,12,19,28,19,25,20,19
Total Liabilities,58,88,115,170,168,119,133
Fixed Assets +,30,42,51,122,108,62,68
CWIP,0,0,20,0,0,0,0
Investments,0,0,0,0,0,0,0
Other Assets +,29,45,43,48,60,57,66
Total Assets,58,88,115,170,168,119,133
