,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,292,292,637,638,669,641,"1,184","1,957","1,992","2,029","2,047",168,168
Reserves,998,527,278,-42,"-1,053",-530,"-1,481","-1,409","-1,338","-1,270",-883,532,496
Borrowings +,"2,382","2,296","2,375","2,647","2,445",925,929,506,519,490,139,119,82
Other Liabilities +,677,"1,048",549,625,660,307,751,658,695,692,613,142,171
Total Liabilities,"4,250","4,063","3,774","3,802","2,655","1,342","1,383","1,370","1,492","1,529","1,486",960,917
Fixed Assets +,"2,175","2,488","2,934","2,946","1,941",815,806,803,806,851,388,417,432
CWIP,-0,-0,33,16,0,0,-0,-0,-0,-0,-0,8,-0
Investments,29,25,25,25,25,13,0,0,0,0,0,0,0
Other Assets +,"2,046","1,550",781,816,689,515,576,567,685,678,"1,098",536,485
Total Assets,"4,250","4,063","3,774","3,802","2,655","1,342","1,383","1,370","1,492","1,529","1,486",960,917
