,Mar 2006,Mar 2007,Mar 2010,Sep 2011
Share Capital +,12,12,31,65
Reserves,3,5,3,21
Borrowings +,20,20,36,40
Other Liabilities +,6,16,21,36
Total Liabilities,41,53,91,163
Fixed Assets +,18,18,28,25
CWIP,1,1,0,0
Investments,0,0,1,0
Other Assets +,22,33,62,138
Total Assets,41,53,91,163
