,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Jun 2022
Share Capital +,7,7,7,7,7,7,7,7,7,7,7,7,7
Reserves,387,411,522,667,841,849,978,"1,041","1,129","1,165","1,305","1,569","1,565"
Borrowings +,0,0,0,0,0,0,0,0,3,3,0,0,105
Other Liabilities +,214,285,454,470,416,475,400,446,495,514,895,928,753
Total Liabilities,608,703,983,"1,145","1,265","1,331","1,385","1,495","1,634","1,689","2,207","2,504","2,430"
Fixed Assets +,225,226,467,449,432,413,309,293,350,349,763,661,637
CWIP,0,1,0,0,0,3,4,13,7,12,14,5,0
Investments,26,16,115,244,375,383,465,525,477,453,476,645,464
Other Assets +,357,460,401,451,458,532,607,663,800,875,955,"1,193","1,329"
Total Assets,608,703,983,"1,145","1,265","1,331","1,385","1,495","1,634","1,689","2,207","2,504","2,430"
