,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,9,9,10,10,10,10,12
Reserves,20,23,20,24,25,26,3
Borrowings +,26,38,42,51,60,58,58
Other Liabilities +,26,27,26,59,30,29,20
Total Liabilities,80,95,98,144,125,124,93
Fixed Assets +,7,4,4,4,3,2,2
CWIP,0,0,0,0,0,0,0
Investments,1,3,1,2,2,0,0
Other Assets +,72,88,93,138,121,121,90
Total Assets,80,95,98,144,125,124,93
