,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,11,11,12,15,14,14,14
Reserves,781,681,605,592,611,636,641,676,708,681,880,"1,340","1,473"
Borrowings +,0,0,0,0,0,0,0,0,60,5,4,54,51
Other Liabilities +,71,12,11,21,61,107,139,246,328,488,715,987,900
Total Liabilities,862,703,627,622,683,753,791,934,"1,107","1,189","1,613","2,395","2,438"
Fixed Assets +,323,398,238,157,95,51,466,452,350,257,257,305,367
CWIP,36,55,211,361,365,499,24,0,6,13,6,54,50
Investments,0,0,28,5,0,4,0,0,75,0,0,0,0
Other Assets +,503,250,150,99,223,199,300,482,676,918,"1,349","2,036","2,021"
Total Assets,862,703,627,622,683,753,791,934,"1,107","1,189","1,613","2,395","2,438"
