,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2020,TTM
Sales +,683,847,"1,055","1,318","1,627","7,595","8,645"
Expenses +,597,754,948,"1,213","1,457","7,316","8,150"
Operating Profit,86,93,107,104,170,279,495
OPM %,13%,11%,10%,8%,10%,4%,6%
Other Income +,8,-0,2,6,9,-4,448
Interest,2,3,4,7,2,83,43
Depreciation,22,12,15,17,28,181,175
Profit before tax,70,78,91,88,150,10,725
Tax %,36%,36%,37%,45%,36%,-131%,
Net Profit,45,50,57,49,96,23,542
EPS in Rs,16.07,17.75,20.38,17.24,23.56,5.28,125.10
