,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,24,25,25,25,25,25,25,25,25,25,25,25
Reserves,102,101,104,122,138,164,170,164,167,103,113,149,159
Borrowings +,1,0,4,0,0,0,1,0,0,13,26,8,6
Other Liabilities +,34,32,37,49,56,43,44,47,47,44,43,47,46
Total Liabilities,160,158,170,195,219,231,240,236,239,184,207,229,236
Fixed Assets +,90,90,90,92,92,91,90,97,101,51,38,38,36
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,8,14,0,0,0,0
Other Assets +,70,68,80,103,127,140,150,130,125,133,169,191,200
Total Assets,160,158,170,195,219,231,240,236,239,184,207,229,236
