,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,26,27,29,29,33,33,33,32,32,32
Reserves,218,289,377,442,440,726,840,843,851,"1,046","1,154"
Borrowings +,263,511,735,882,957,845,912,993,"1,233","1,618","1,419"
Other Liabilities +,130,204,303,332,433,452,417,361,587,785,906
Total Liabilities,632,"1,031","1,442","1,685","1,858","2,056","2,201","2,230","2,703","3,481","3,512"
Fixed Assets +,249,242,532,947,"1,024","1,076","1,114","1,175","1,240","1,473","1,482"
CWIP,40,347,316,35,50,44,130,219,276,129,177
Investments,0,0,0,0,0,0,0,0,0,55,0
Other Assets +,343,441,594,702,783,936,957,836,"1,187","1,823","1,853"
Total Assets,632,"1,031","1,442","1,685","1,858","2,056","2,201","2,230","2,703","3,481","3,512"
