,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,344,304,352,461,479
Expenses +,329,309,343,450,470
Operating Profit,14,-5,9,11,9
OPM %,4%,-2%,3%,2%,2%
Other Income +,0,1,1,1,1
Interest,4,5,4,4,5
Depreciation,1,1,2,3,3
Profit before tax,10,-10,3,5,2
Tax %,18%,1%,40%,36%,
Net Profit,8,-10,2,3,2
EPS in Rs,1.74,-2.22,0.45,0.64,0.39
