,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Share Capital +,27,27,27,27,27,27,27
Reserves,62,68,98,45,26,-78,-116
Borrowings +,8,42,122,132,131,130,130
Other Liabilities +,6,11,40,44,39,31,45
Total Liabilities,102,147,287,248,224,110,85
Fixed Assets +,67,79,183,157,154,82,80
CWIP,1,-0,-0,-0,-0,-0,-0
Investments,-0,-0,-0,-0,-0,-0,-0
Other Assets +,34,68,104,91,70,28,5
Total Assets,102,147,287,248,224,110,85
