,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14
Reserves,15,36,54,21,19,39,124,158
Borrowings +,64,69,67,61,51,51,52,61
Other Liabilities +,14,6,8,14,10,8,9,11
Total Liabilities,107,124,143,110,93,112,199,244
Fixed Assets +,28,31,33,30,27,25,23,22
CWIP,2,4,0,0,0,0,0,0
Investments,5,24,42,9,6,26,115,149
Other Assets +,72,65,68,71,60,61,61,73
Total Assets,107,124,143,110,93,112,199,244
