,Mar 2006,Mar 2007,Mar 2008,Mar 2011,Mar 2012,Mar 2016,Mar 2017
Sales +,"1,229","1,634","2,281","4,895","6,200",0,0
Expenses +,"1,172","1,559","2,200","4,764","6,030",2,177
Operating Profit,57,75,81,131,171,-2,-177
OPM %,5%,5%,4%,3%,3%,,
Other Income +,2,3,2,71,52,326,64
Interest,16,21,9,67,88,646,718
Depreciation,3,3,6,7,8,6,4
Profit before tax,40,53,68,128,127,-328,-836
Tax %,6%,8%,8%,5%,20%,0%,-0%
Net Profit,38,48,63,131,118,-372,-981
EPS in Rs,9.33,12.04,14.42,19.53,11.35,-34.92,-92.05
