,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,28,28,28,28
Reserves,122,142,158,148,133
Borrowings +,3,13,0,25,24
Other Liabilities +,68,80,81,79,70
Total Liabilities,221,264,268,280,255
Fixed Assets +,24,28,26,23,22
CWIP,0,0,0,0,0
Investments,2,1,1,1,1
Other Assets +,195,234,241,256,232
Total Assets,221,264,268,280,255
