,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4,4,4,4,4
Reserves,172,198,209,219,211,238,236,232
Borrowings +,58,49,65,113,121,123,124,117
Other Liabilities +,77,78,152,146,161,148,147,154
Total Liabilities,311,329,431,481,496,513,511,508
Fixed Assets +,134,158,163,182,188,182,215,212
CWIP,1,2,14,5,1,1,2,3
Investments,0,0,0,0,0,0,0,0
Other Assets +,177,169,254,295,307,330,294,293
Total Assets,311,329,431,481,496,513,511,508
