,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,10,10,10,11,11,11
Reserves,566,587,673,712,959,"1,125","1,233"
Borrowings +,777,847,985,"1,058",806,800,811
Other Liabilities +,469,556,657,527,576,739,802
Total Liabilities,"1,818","1,999","2,325","2,307","2,352","2,675","2,856"
Fixed Assets +,"1,228","1,323","1,589","1,546","1,510","1,544","1,585"
CWIP,11,24,91,89,32,42,67
Investments,3,4,4,3,2,3,3
Other Assets +,576,648,642,669,807,"1,086","1,202"
Total Assets,"1,818","1,999","2,325","2,307","2,352","2,675","2,856"
