,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,205,181,272,340
Expenses +,149,157,215,237
Operating Profit,55,24,57,103
OPM %,27%,13%,21%,30%
Other Income +,-0,1,6,2
Interest,4,3,1,0
Depreciation,25,20,22,23
Profit before tax,27,2,39,81
Tax %,5%,500%,26%,
Net Profit,25,-8,29,59
EPS in Rs,18.26,-5.78,20.34,41.95
