,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,11,11,11,11,12
Reserves,147,151,145,147,155
Borrowings +,244,298,456,455,444
Other Liabilities +,97,113,112,186,176
Total Liabilities,499,574,724,798,786
Fixed Assets +,163,255,263,253,246
CWIP,62,10,7,4,7
Investments,0,0,0,0,0
Other Assets +,273,309,454,541,533
Total Assets,499,574,724,798,786
