,Mar 2013,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,1,1,1,1,20,20
Reserves,14,34,266,347,437,"1,006","1,089"
Borrowings +,8,13,36,33,52,26,24
Other Liabilities +,2,5,21,17,30,48,29
Total Liabilities,25,53,324,398,519,"1,100","1,162"
Fixed Assets +,2,7,37,35,30,29,26
CWIP,0,1,0,0,0,0,0
Investments,3,12,99,72,139,194,220
Other Assets +,20,33,188,290,350,878,916
Total Assets,25,53,324,398,519,"1,100","1,162"
