,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,22,22,22
Reserves,380,430,485,474
Borrowings +,21,31,35,23
Other Liabilities +,103,92,104,114
Total Liabilities,526,575,646,633
Fixed Assets +,331,320,394,380
CWIP,18,45,0,2
Investments,0,4,8,8
Other Assets +,176,206,244,242
Total Assets,526,575,646,633
