,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,11,11,11,11,25,26,27,27
Reserves,19,37,76,150,270,523,763,488
Borrowings +,6,11,34,88,98,612,847,956
Other Liabilities +,6,35,20,71,96,319,527,476
Total Liabilities,42,95,140,320,487,"1,480","2,163","1,947"
Fixed Assets +,10,38,65,83,167,733,962,945
CWIP,2,1,2,55,24,5,7,2
Investments,0,0,0,0,0,0,0,0
Other Assets +,30,56,73,182,296,741,"1,195","1,000"
Total Assets,42,95,140,320,487,"1,480","2,163","1,947"
