,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,18,36,18,18,19,19,19,19,19,19,19
Reserves,493,377,383,443,438,440,738,774,854,763,866,998,"1,026"
Borrowings +,445,397,422,494,398,365,221,376,348,520,510,554,796
Other Liabilities +,"1,352","1,292","1,337","1,381","1,322","1,702","1,672","2,068","2,130","2,137","2,154","2,741","2,570"
Total Liabilities,"2,308","2,085","2,160","2,336","2,175","2,525","2,650","3,236","3,351","3,439","3,549","4,313","4,411"
Fixed Assets +,194,207,227,255,257,259,356,392,400,444,384,433,554
CWIP,25,32,8,15,22,16,34,25,41,67,72,152,195
Investments,27,28,27,33,36,242,11,13,15,17,295,162,150
Other Assets +,"2,061","1,819","1,897","2,032","1,860","2,007","2,250","2,806","2,895","2,911","2,799","3,565","3,513"
Total Assets,"2,308","2,085","2,160","2,336","2,175","2,525","2,650","3,236","3,351","3,439","3,549","4,313","4,411"
