,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,547,565,408,555,648
Expenses +,481,503,373,487,571
Operating Profit,66,62,35,68,77
OPM %,12%,11%,9%,12%,12%
Other Income +,2,4,7,3,6
Interest,11,13,13,12,16
Depreciation,20,23,22,22,26
Profit before tax,37,31,8,37,41
Tax %,45%,36%,18%,16%,
Net Profit,20,19,6,31,37
EPS in Rs,0.97,1.49,0.49,2.40,2.80
