,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Share Capital +,7,9,9,9,10,10
Reserves,100,357,587,700,825,664
Borrowings +,146,201,392,614,831,"1,033"
Other Liabilities +,98,163,157,300,458,409
Total Liabilities,351,730,"1,144","1,624","2,123","2,116"
Fixed Assets +,11,92,174,190,175,156
CWIP,0,0,0,0,0,0
Investments,0,1,1,0,0,0
Other Assets +,340,637,969,"1,434","1,949","1,960"
Total Assets,351,730,"1,144","1,624","2,123","2,116"
