,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,"2,981","2,979","2,936","2,940","2,943","2,948","2,959","5,922","5,926","6,339","6,445","6,765","6,766"
Reserves,"151,112","166,466","179,094","195,730","215,539","228,600","260,746","287,569","381,184","442,826","653,884","772,720","783,283"
Borrowings +,"84,152","92,447","107,219","138,761","168,251","194,714","217,475","239,843","307,714","355,133","278,962","319,158","316,030"
Other Liabilities +,"69,274","65,299","73,108","91,412","117,753","172,735","225,622","277,939","302,806","358,717","380,774","399,979","519,845"
Total Liabilities,"307,519","327,191","362,357","428,843","504,486","598,997","706,802","811,273","997,630","1,163,015","1,320,065","1,498,622","1,625,924"
Fixed Assets +,"158,100","138,814","133,487","141,417","156,458","184,910","198,526","403,885","398,374","532,658","541,258","627,798","856,214"
CWIP,"28,174","25,363","49,952","91,494","166,462","228,697","324,837","187,022","179,463","109,106","125,953","172,506","82,199"
Investments,"21,596","38,596","42,848","60,602","76,451","84,015","82,899","82,862","235,635","276,767","364,828","394,264","345,113"
Other Assets +,"99,649","124,418","136,070","135,330","105,115","101,375","100,540","137,504","184,158","244,484","288,026","304,054","342,398"
Total Assets,"307,519","327,191","362,357","428,843","504,486","598,997","706,802","811,273","997,630","1,163,015","1,320,065","1,498,622","1,625,924"
