,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,216,216,216,216,216,216,216,216,216,216,235,235,235
Reserves,"2,519","3,465","2,649","3,321","3,811","6,357","6,528","7,065","7,651","8,013","47,439","48,826","49,364"
Borrowings +,0,0,25,46,43,177,277,0,99,0,"1,009","1,043","1,139"
Other Liabilities +,"7,613","7,726","9,202","10,171","10,359","8,043","8,685","10,581","10,663","11,924","20,057","20,402","21,198"
Total Liabilities,"10,348","11,407","12,092","13,754","14,430","14,793","15,706","17,862","18,629","20,153","68,740","70,506","71,936"
Fixed Assets +,"2,223","2,263","2,431","2,746","2,821","3,258","4,419","4,528","4,715","5,479","51,443","51,473","51,909"
CWIP,289,228,222,373,516,408,229,461,406,597,745,"1,313","1,129"
Investments,"1,188","2,322","2,252","2,838","3,025","2,592","3,794","2,873","2,716","1,255","2,709","3,521","3,538"
Other Assets +,"6,647","6,595","7,186","7,797","8,067","8,535","7,264","10,000","10,792","12,822","13,843","14,199","15,360"
Total Assets,"10,348","11,407","12,092","13,754","14,430","14,793","15,706","17,862","18,629","20,153","68,740","70,506","71,936"
