,Mar 2021,Mar 2022
Sales +,229,301
Expenses +,125,148
Operating Profit,103,153
OPM %,45%,51%
Other Income +,5,8
Interest,3,4
Depreciation,14,22
Profit before tax,92,135
Tax %,25%,25%
Net Profit,69,101
EPS in Rs,"3,583.25",18.92
