,Mar 2010,Mar 2011,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Share Capital +,104,104,139,139,139,279,279,279,279,279
Reserves,173,210,395,454,492,392,203,"-1,261","-1,319","-1,552"
Borrowings +,162,287,376,493,602,717,884,908,916,911
Other Liabilities +,43,60,70,483,388,495,326,284,311,595
Total Liabilities,483,661,980,"1,569","1,621","1,881","1,692",210,186,232
Fixed Assets +,187,230,228,248,234,227,210,160,132,168
CWIP,28,2,8,3,0,9,12,11,5,5
Investments,0,0,0,2,2,0,0,0,0,0
Other Assets +,268,429,743,"1,316","1,385","1,645","1,470",38,49,59
Total Assets,483,661,980,"1,569","1,621","1,881","1,692",210,186,232
