,Mar 2008,Mar 2009,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,27,27,54,54,54,54,54,54,54,54,54,54,54
Reserves,572,636,"1,233","1,372","1,548","2,456","2,761","3,078","3,362","3,706","3,999","4,078","4,304"
Borrowings +,125,94,84,68,51,46,29,35,108,178,173,203,314
Other Liabilities +,291,328,715,786,720,685,793,962,994,945,"1,307","1,374","1,464"
Total Liabilities,"1,015","1,085","2,087","2,280","2,373","3,240","3,636","4,130","4,518","4,884","5,533","5,709","6,136"
Fixed Assets +,240,237,786,922,916,937,957,"1,036","1,465","1,906","1,912","1,996","2,123"
CWIP,27,36,123,48,44,42,154,346,316,169,207,225,97
Investments,220,303,53,49,208,539,531,521,197,306,669,211,129
Other Assets +,528,509,"1,124","1,261","1,205","1,722","1,993","2,228","2,540","2,502","2,745","3,278","3,787"
Total Assets,"1,015","1,085","2,087","2,280","2,373","3,240","3,636","4,130","4,518","4,884","5,533","5,709","6,136"
