,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,122,122,142,142,142,142,142,142,142,142,142,142,142
Reserves,829,884,"1,097","1,122","1,787","1,087",671,-213,"-2,340","-3,744","-3,953","-4,273","-4,393"
Borrowings +,"2,271","2,790","3,046","3,573","3,750","4,166","5,981","6,007","7,441","7,627","7,580",62,62
Other Liabilities +,"2,186","2,166","2,716","3,200","4,008","5,052","3,491","2,302","1,783","1,962","1,964","9,923","9,916"
Total Liabilities,"5,408","5,963","7,001","8,037","9,688","10,447","10,285","8,238","7,027","5,988","5,734","5,855","5,728"
Fixed Assets +,"1,829","2,907","3,225","4,014","4,707","5,680","5,458","5,197","4,939","4,691","4,458","4,227","4,111"
CWIP,967,379,548,695,799,152,154,156,118,102,102,102,102
Investments,4,6,6,5,4,9,6,6,6,4,4,3,4
Other Assets +,"2,608","2,671","3,222","3,324","4,178","4,607","4,668","2,880","1,964","1,190","1,170","1,524","1,511"
Total Assets,"5,408","5,963","7,001","8,037","9,688","10,447","10,285","8,238","7,027","5,988","5,734","5,855","5,728"
