,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,21,21,21,18,17,17,17,15,15,15,15
Reserves,399,433,398,383,426,481,544,604,681,460,550,638,665
Borrowings +,12,4,1,1,1,1,0,0,0,4,0,0,5
Other Liabilities +,105,95,83,93,111,137,101,113,96,144,104,117,106
Total Liabilities,543,558,504,498,559,638,662,734,794,623,669,771,791
Fixed Assets +,131,136,123,127,42,40,38,37,40,44,34,34,38
CWIP,3,0,0,0,0,0,0,0,1,0,0,0,0
Investments,149,167,139,134,195,351,374,459,510,340,412,539,543
Other Assets +,260,256,242,237,321,246,250,237,243,239,222,198,210
Total Assets,543,558,504,498,559,638,662,734,794,623,669,771,791
