,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,0,0,0,0,24,24
Reserves,141,137,148,303,291,528,359,"1,394","1,417"
Borrowings +,158,210,192,162,429,477,590,815,780
Other Liabilities +,139,162,196,179,239,344,616,361,405
Total Liabilities,438,509,535,644,959,"1,349","1,566","2,594","2,626"
Fixed Assets +,67,77,81,83,377,419,517,799,957
CWIP,3,3,2,1,1,5,6,20,27
Investments,0,0,0,0,0,0,0,0,0
Other Assets +,368,429,453,560,580,924,"1,043","1,775","1,642"
Total Assets,438,509,535,644,959,"1,349","1,566","2,594","2,626"
