,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,43,43,44,44,44,45,45,45,45,45,45,45,45
Reserves,403,533,685,902,"1,113","1,220","1,427","1,624","1,897","2,045","2,297","2,642","2,719"
Borrowings +,236,248,200,170,176,149,134,9,300,332,350,335,313
Other Liabilities +,300,402,328,370,402,455,500,618,847,"1,174",742,849,822
Total Liabilities,982,"1,226","1,257","1,486","1,734","1,869","2,106","2,296","3,090","3,596","3,433","3,871","3,899"
Fixed Assets +,347,378,397,422,547,386,447,592,950,"1,323","1,133","1,285","1,236"
CWIP,5,3,2,2,1,2,3,6,12,11,0,1,1
Investments,26,48,42,149,94,134,243,275,115,278,517,324,555
Other Assets +,605,797,815,914,"1,092","1,347","1,413","1,424","2,013","1,983","1,783","2,261","2,107"
Total Assets,982,"1,226","1,257","1,486","1,734","1,869","2,106","2,296","3,090","3,596","3,433","3,871","3,899"
