,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,126,126,126,145,145,145,145,145,145,145,145,145,145
Reserves,"4,053","4,536","4,661","2,887",514,"1,489","1,640","2,394","3,065","3,702","4,094","4,928","5,626"
Borrowings +,"6,711","8,164","8,242","8,307","4,987","4,242","4,144","3,421","2,883","2,570","1,037",605,557
Other Liabilities +,"2,020","3,031","3,453","3,518","2,242","2,452","2,967","2,966","3,016","2,426","3,235","3,184","3,792"
Total Liabilities,"12,909","15,857","16,483","14,858","7,889","8,329","8,896","8,926","9,109","8,844","8,511","8,863","10,121"
Fixed Assets +,"6,372","7,881","7,869","5,700","1,921","1,887","1,917","1,791","1,841","1,956","1,893","1,855","1,708"
CWIP,103,108,131,110,114,282,199,102,118,121,97,96,92
Investments,154,236,218,238,216,77,0,0,25,22,0,222,534
Other Assets +,"6,280","7,632","8,265","8,810","5,637","6,084","6,780","7,033","7,124","6,745","6,521","6,690","7,786"
Total Assets,"12,909","15,857","16,483","14,858","7,889","8,329","8,896","8,926","9,109","8,844","8,511","8,863","10,121"
