,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,20,20,33,32,23,23,25,25
Reserves,15,19,8,22,30,50,133,160,414,428
Borrowings +,25,24,26,69,69,108,137,222,229,281
Other Liabilities +,18,21,26,41,61,68,61,87,131,168
Total Liabilities,63,69,80,152,180,246,355,492,799,903
Fixed Assets +,14,13,17,56,67,83,111,127,285,279
CWIP,0,0,1,1,1,0,3,115,11,32
Investments,0,0,0,0,0,1,1,1,82,42
Other Assets +,49,55,62,94,112,163,241,250,422,550
Total Assets,63,69,80,152,180,246,355,492,799,903
