,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4,4
Reserves,405,560,723,766,826
Borrowings +,247,94,58,174,114
Other Liabilities +,100,94,122,146,121
Total Liabilities,756,752,908,"1,090","1,065"
Fixed Assets +,150,203,191,228,216
CWIP,35,18,18,11,16
Investments,0,9,150,43,68
Other Assets +,570,522,549,807,765
Total Assets,756,752,908,"1,090","1,065"
