,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,339,348,375,824,961
Expenses +,314,320,345,776,927
Operating Profit,25,28,30,47,33
OPM %,7%,8%,8%,6%,3%
Other Income +,5,1,1,2,2
Interest,5,8,6,10,11
Depreciation,12,16,12,13,12
Profit before tax,12,5,13,27,13
Tax %,34%,24%,29%,32%,
Net Profit,8,4,9,18,8
EPS in Rs,5.35,2.74,5.88,12.04,5.09
