,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,414,402,601,610
Expenses +,316,298,485,517
Operating Profit,98,104,116,93
OPM %,24%,26%,19%,15%
Other Income +,6,4,9,8
Interest,2,1,2,4
Depreciation,23,26,29,31
Profit before tax,79,81,95,65
Tax %,16%,23%,26%,
Net Profit,66,63,71,49
EPS in Rs,15.08,14.36,16.17,11.12
