,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,5,5,5,5,5,5,5,5,5,5
Reserves,227,244,265,291,262,257,244,234,218,181,178,166,160
Borrowings +,17,35,93,151,201,245,246,297,285,268,243,247,253
Other Liabilities +,70,65,80,93,85,61,61,53,64,71,68,81,94
Total Liabilities,319,349,443,541,553,568,556,588,572,525,494,500,512
Fixed Assets +,91,107,105,183,245,258,234,245,226,208,209,205,192
CWIP,1,4,2,27,22,38,30,29,31,33,21,17,22
Investments,3,3,3,2,1,1,7,9,8,4,13,19,28
Other Assets +,224,235,334,329,284,271,284,306,308,281,252,260,270
Total Assets,319,349,443,541,553,568,556,588,572,525,494,500,512
