,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,16,16,16,16,16,16
Reserves,8,29,34,38,41,46,52
Borrowings +,15,10,3,17,10,11,9
Other Liabilities +,25,27,29,34,42,52,60
Total Liabilities,55,81,83,105,108,125,138
Fixed Assets +,11,13,23,31,30,32,32
CWIP,0,1,0,0,1,0,0
Investments,0,0,0,0,0,0,0
Other Assets +,44,68,60,74,77,93,106
Total Assets,55,81,83,105,108,125,138
