,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,16,16,16
Reserves,-0,"1,907","2,417","2,540"
Borrowings +,0,556,238,393
Other Liabilities +,0,888,"1,111","1,155"
Total Liabilities,0,"3,366","3,782","4,105"
Fixed Assets +,0,"1,805","1,798","1,818"
CWIP,0,65,174,307
Investments,0,50,6,6
Other Assets +,0,"1,446","1,804","1,974"
Total Assets,0,"3,366","3,782","4,105"
