,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,358","4,193","5,165","7,859","9,906"
Expenses +,"3,906","3,726","4,616","7,175","9,267"
Operating Profit,452,467,549,684,639
OPM %,10%,11%,11%,9%,6%
Other Income +,29,27,12,27,48
Interest,159,192,111,86,188
Depreciation,70,72,83,90,124
Profit before tax,251,230,366,535,375
Tax %,37%,16%,39%,26%,
Net Profit,159,193,223,398,277
EPS in Rs,,,,6.92,4.24
