,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Share Capital +,9,9,9,9,9
Reserves,6,12,19,25,16
Borrowings +,24,25,22,26,34
Other Liabilities +,22,34,48,25,20
Total Liabilities,61,81,99,85,79
Fixed Assets +,40,48,56,50,44
CWIP,2,3,4,19,24
Investments,0,0,0,0,0
Other Assets +,20,29,40,15,11
Total Assets,61,81,99,85,79
