,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,135,149,152,200,242
Expenses +,110,119,101,114,141
Operating Profit,26,29,51,86,101
OPM %,19%,20%,34%,43%,42%
Other Income +,28,15,40,42,34
Interest,3,3,3,2,2
Depreciation,9,10,10,8,8
Profit before tax,42,32,79,117,125
Tax %,20%,27%,24%,26%,
Net Profit,34,23,60,87,91
EPS in Rs,87.59,60.53,156.07,16.34,16.99
