,Mar 2017,Mar 2018
Share Capital +,5,5
Reserves,97,111
Borrowings +,0,0
Other Liabilities +,7,8
Total Liabilities,108,125
Fixed Assets +,38,39
CWIP,0,0
Investments,41,63
Other Assets +,30,23
Total Assets,108,125
