,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,0,599,877,"1,021","1,625","1,816"
Expenses +,0,522,738,814,"1,192","1,319"
Operating Profit,-0,77,138,207,433,497
OPM %,,13%,16%,20%,27%,27%
Other Income +,0,13,-9,-0,6,27
Interest,0,25,48,37,17,9
Depreciation,0,53,69,69,73,73
Profit before tax,-0,12,12,101,349,442
Tax %,0%,-179%,-23%,32%,31%,
Net Profit,-0,35,14,69,240,294
EPS in Rs,,,1.18,5.61,19.61,23.95
