,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,7,7,7
Reserves,73,80,93,104,118,128,141,163,166
Borrowings +,95,77,78,164,116,125,80,99,39
Other Liabilities +,38,31,40,27,86,44,26,27,54
Total Liabilities,213,194,218,302,327,303,253,296,266
Fixed Assets +,123,110,99,165,186,172,134,122,141
CWIP,5,5,5,5,5,5,5,37,5
Investments,3,1,1,1,1,1,1,1,2
Other Assets +,82,78,114,131,135,125,113,137,119
Total Assets,213,194,218,302,327,303,253,296,266
