,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,0,152,152,152
Reserves,202,133,161,275
Borrowings +,199,276,177,289
Other Liabilities +,106,162,199,247
Total Liabilities,506,722,689,964
Fixed Assets +,100,169,256,322
CWIP,25,35,0,2
Investments,0,0,0,0
Other Assets +,381,518,433,639
Total Assets,506,722,689,964
