,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11
Reserves,7,8,13
Borrowings +,35,32,25
Other Liabilities +,23,25,35
Total Liabilities,75,76,83
Fixed Assets +,7,10,11
CWIP,0,0,0
Investments,0,0,0
Other Assets +,68,66,72
Total Assets,75,76,83
